  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
    -233878.8199        899.4995       1331.4664          0.0000          0.0000
          0.0000       1386.1332      -6334.4722          0.0000          0.0000
          0.0000          0.0000
              93          0.0930    -228918.3469       2489.5204    -231407.8673
    -233897.3877        908.2149       1317.8618          0.0000          0.0000
          0.0000       1379.8866      -6309.4394          0.0000          0.0000
          0.0000          0.0000
              94          0.0940    -228900.3797       2516.5644    -231416.9440
    -233933.5084        918.1406       1300.5551          0.0000          0.0000
          0.0000       1357.7012      -6279.5455          0.0000          0.0000
          0.0000          0.0000
              95          0.0950    -228879.7705       2523.4288    -231403.1993
    -233926.6280        920.7803       1288.5058          0.0000          0.0000
          0.0000       1359.4241      -6256.0090          0.0000          0.0000
          0.0000          0.0000
              96          0.0960    -228852.6876       2516.9335    -231369.6211
    -233886.5545        918.4646       1287.9021          0.0000          0.0000
          0.0000       1383.2530      -6246.2004          0.0000          0.0000
          0.0000          0.0000
              97          0.0970    -228821.7036       2534.9408    -231356.6444
    -233891.5852        925.1028       1295.6849          0.0000          0.0000
          0.0000       1388.2332      -6246.5768          0.0000          0.0000
          0.0000          0.0000
              98          0.0980    -228804.3458       2579.9996    -231384.3454
    -233964.3451        941.4703       1303.0689          0.0000          0.0000
          0.0000       1354.0038      -6248.1423          0.0000          0.0000
          0.0000          0.0000
              99          0.0990    -228793.6659       2577.7999    -231371.4657
    -233949.2656        940.6077       1302.5312          0.0000          0.0000
          0.0000       1361.3866      -6242.8961          0.0000          0.0000
          0.0000          0.0000
             100          0.1000    -228794.8568       2509.4827    -231304.3394
    -233813.8221        915.6634       1294.4781          0.0000          0.0000
          0.0000       1423.8996      -6231.1026          0.0000          0.0000
          0.0000          0.0000
             101          0.1010    -228787.2466       2412.9879    -231200.2345
    -233613.2224        880.4260       1286.4794          0.0000          0.0000
          0.0000       1524.0453      -6220.0579          0.0000          0.0000
          0.0000          0.0000
             102          0.1020    -228733.9529       2447.6638    -231181.6167
    -233629.2805        893.1833       1283.4442          0.0000          0.0000
          0.0000       1538.1706      -6213.4062          0.0000          0.0000
          0.0000          0.0000
             103          0.1030    -228703.0258       2586.8483    -231289.8741
    -233876.7224        943.9643       1287.0764          0.0000          0.0000
          0.0000       1426.8349      -6214.8709          0.0000          0.0000
          0.0000          0.0000
             104          0.1040    -228707.0244       2567.5866    -231274.6111
    -233842.1977        936.7571       1296.3562          0.0000          0.0000
          0.0000       1439.4628      -6222.4885          0.0000          0.0000
          0.0000          0.0000
             105          0.1050    -228703.8310       2553.6288    -231257.4598
    -233811.0886        931.7834       1306.8106          0.0000          0.0000
          0.0000       1453.0160      -6230.3578          0.0000          0.0000
          0.0000          0.0000
             106          0.1060    -228697.3989       2549.6657    -231247.0646
    -233796.7303        930.3460       1309.3476          0.0000          0.0000
          0.0000       1460.6762      -6231.2172          0.0000          0.0000
          0.0000          0.0000
             107          0.1070    -228698.6581       2542.4488    -231241.1069
    -233783.5557        927.6713       1303.8099          0.0000          0.0000
          0.0000       1465.1163      -6225.2554          0.0000          0.0000
          0.0000          0.0000
             108          0.1080    -228691.1579       2533.6631    -231224.8210
    -233758.4841        924.4835       1296.6324          0.0000          0.0000
          0.0000       1480.8599      -6218.6506          0.0000          0.0000
          0.0000          0.0000
             109          0.1090    -228669.3742       2506.0458    -231175.4200
    -233681.4658        914.3390       1295.2824          0.0000          0.0000
          0.0000       1530.8550      -6218.9980          0.0000          0.0000
          0.0000          0.0000
             110          0.1100    -228677.7323       2520.3532    -231198.0855
    -233718.4387        919.6030       1303.0420          0.0000          0.0000
          0.0000       1508.1342      -6227.7031          0.0000          0.0000
          0.0000          0.0000
             111          0.1110    -228675.1981       2527.2473    -231202.4454
    -233729.6927        922.0980       1313.9615          0.0000          0.0000
          0.0000       1504.5173      -6240.2882          0.0000          0.0000
          0.0000          0.0000
             112          0.1120    -228674.6425       2491.8077    -231166.4502
    -233658.2579        909.1314       1320.7177          0.0000          0.0000
          0.0000       1539.9606      -6247.2990          0.0000          0.0000
          0.0000          0.0000
             113          0.1130    -228685.9331       2464.3249    -231150.2580
    -233614.5829        899.1689       1320.1513          0.0000          0.0000
          0.0000       1553.0431      -6244.2395          0.0000          0.0000
          0.0000          0.0000
             114          0.1140    -228652.6176       2415.9903    -231068.6078
    -233484.5981        881.3159       1311.5884          0.0000          0.0000
          0.0000       1630.8416      -6232.2220          0.0000          0.0000
          0.0000          0.0000
             115          0.1150    -228662.9041       2512.5074    -231175.4115
    -233687.9188        916.6022       1301.2447          0.0000          0.0000
          0.0000       1518.2326      -6215.9981          0.0000          0.0000
          0.0000          0.0000
             116          0.1160    -228648.5584       2540.3908    -231188.9493
    -233729.3401        926.8659       1294.6435          0.0000          0.0000
          0.0000       1497.7664      -6202.2988          0.0000          0.0000
          0.0000          0.0000
             117          0.1170    -228643.0860       2540.2207    -231183.3067
    -233723.5274        926.6070       1294.1017          0.0000          0.0000
          0.0000       1496.7027      -6194.8991          0.0000          0.0000
          0.0000          0.0000
             118          0.1180    -228631.9986       2549.5843    -231181.5829
    -233731.1672        930.1889       1299.2521          0.0000          0.0000
          0.0000       1490.0142      -6191.5336          0.0000          0.0000
          0.0000          0.0000
             119          0.1190    -228620.5568       2566.0957    -231186.6525
    -233752.7482        936.3088       1302.4138          0.0000          0.0000
          0.0000       1476.5667      -6186.2538          0.0000          0.0000
          0.0000          0.0000
             120          0.1200    -228606.7260       2587.0972    -231193.8233
    -233780.9205        943.9283       1296.9833          0.0000          0.0000
          0.0000       1461.7519      -6173.1391          0.0000          0.0000
          0.0000          0.0000
             121          0.1210    -228590.3258       2608.2964    -231198.6222
    -233806.9186        951.7072       1284.7847          0.0000          0.0000
          0.0000       1449.3878      -6153.3491          0.0000          0.0000
          0.0000          0.0000
             122          0.1220    -228567.8924       2632.6762    -231200.5686
    -233833.2448        960.6611       1272.1618          0.0000          0.0000
          0.0000       1440.3318      -6133.5976          0.0000          0.0000
          0.0000          0.0000
             123          0.1230    -228543.5049       2652.7225    -231196.2274
    -233848.9499        967.8547       1268.4696          0.0000          0.0000
          0.0000       1438.5802      -6123.8018          0.0000          0.0000
          0.0000          0.0000
             124          0.1240    -228515.6620       2654.5708    -231170.2328
    -233824.8035        968.4417       1276.1776          0.0000          0.0000
          0.0000       1458.7961      -6125.7276          0.0000          0.0000
          0.0000          0.0000
             125          0.1250    -228476.0620       2659.4803    -231135.5423
    -233795.0227        970.4726       1287.8420          0.0000          0.0000
          0.0000       1487.1901      -6131.1183          0.0000          0.0000
          0.0000          0.0000
             126          0.1260    -228462.0891       2702.0017    -231164.0908
    -233866.0926        986.0054       1290.3824          0.0000          0.0000
          0.0000       1453.9799      -6129.0081          0.0000          0.0000
          0.0000          0.0000
             127          0.1270    -228445.3177       2702.4344    -231147.7521
    -233850.1864        986.0047       1280.3140          0.0000          0.0000
          0.0000       1466.3464      -6114.9925          0.0000          0.0000
          0.0000          0.0000
             128          0.1280    -228411.2743       2705.2912    -231116.5656
    -233821.8568        987.2364       1266.6368          0.0000          0.0000
          0.0000       1492.6851      -6096.4815          0.0000          0.0000
          0.0000          0.0000
             129          0.1290    -228392.9641       2754.1082    -231147.0723
